ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
133;DocBase;RELATIES;01. Ledenadministratie;"Onbekend adres; hoe in DocBase in te voeren";"Onbekend adres; hoe in DocBase in te voeren";;FAQ;Als er een lid in DocBase moet worden aangemaakt waarvan het adres niet bekend is (bijvoorbeeld een spontane kerkbijdrage betaler waarvan alleen de naam op het bankafschrift staat en verder niet bekend is), kan het lid zonder adres worden ingevoerd. Zorg ervoor dat het veld “voorkeur parochie” en eventueel “Voorkeurlocatie” wordt ingevuld.
134;DocBase;RELATIES;01. Ledenadministratie;Hoe geef ik een lid een andere dan op basis van postcode - huisnummer toegewezen wijk/sectie/bezorgwijk;Hoe geef ik een lid een andere dan op basis van postcode - huisnummer toegewezen wijk/sectie/bezorgwijk;;FAQ;"! Voor leden die binnen uw parochie voor centrale administraties) of locatie (hybride en decentrale administratie) wonen (bijvoorbeeld voor bezorgers die in een andere wijk het parochieblad rondbrengen dan waar zij wonen). LET OP!! Als het adres van de betreffende persoon wordt aangepast, worden de wijkgegevens voor leden die in de parochie wonen aangepast op basis van de postcode en het huisnummer (geldt niet voor voorkeursparochianen). De alternatieve wijkindeling is dan vervallen; geografische wijkindeling wordt toegepast. Andere mogelijkheid is de parochiaan als voorkeurparochiaan te behandelen. 1. Open de ledenkaart 2. Klik op “wijzigen” 3. Klik op het loopje naast “Wijknaam” (1) 4. Klik op “Clear” (2) 5. Vul gegevens in om de wijk te kunnen selecteren; bijvoorbeeld wijknaam of bezorgwijk. De lijst mag ook leeggelaten worden, dan wordt de gehele lijst met wijken getoond. 6. Selecteer de gewenste wijk door het vakje aan de linkerkant aan te klikken (3) en klik op OK (4) 7. Klik op OK op de ledenkaart."
135;DocBase;RELATIES;01. Ledenadministratie;Wijkindeling voorkeurparochianen;Wijkindeling voorkeurparochianen;;FAQ;"Voor voorkeurparochianen geldt dat de wijkindeling niet wordt toegekend op basis van de tabel 07 Bezorging – wijkgegevens van de voorkeurparochie. 1. Voeg een regel toe aan de tabel 07. Bezorging – wijkindeling Als voorbeeld worden er 2 regels toegevoegd; er kunnen ook meerdere regels toegevoegd worden. In te vullen gegevens: LET OP! Vul geen postcode en huisnummerreeks in. 2. Klik op OK 3. Open de ledenkaart van de voorkeurparochiaan 4. Klik op wijzigen “Bezorgingen-ID” 5. Vul bij “Wijknaam” in: “voorkeur” en klik “Vind nu!” 6. Selecteer de gewenst regel (in dit voorbeeld is er maar 1 regel) en klik OK 7. Er staat nu bij “Bezorgingen-ID” een nummer en de wijkgegevens zijn ingevuld."
136;DocBase;RELATIES;01. Ledenadministratie;Aanmaken lijst met mensen die ouder zijn dan bepaalde leeftijd en in specifieke maand jarig zijn;Aanmaken lijst met mensen die ouder zijn dan bepaalde leeftijd en in specifieke maand jarig zijn;;FAQ;"1. Voorbeeld: Selecteer de parochianen die (in 2019) 75 jaar en ouder zijn en in een bepaalde maand (voorbeeld september) geboren zijn. Hiermee worden de overledenen en (lokale)relaties uitgesloten. Let op: de lijst bevat ook de mensen hebt die voorkeur elders zijn. 2. Voor het uitsluiten van leden die voorkeur elders zijn onderstaande aan de selectie toe voegen. Het is niet mogelijk om in één keer zowel de mensen die in de parochie wonen en geen voorkeur lid elders zijn als de mensen die elders wonen en voorkeur lid in uw parochie zijn te selecteren. Dit zal dan in twee slagen gedaan moeten worden en dan de twee Excel bestanden samenvoegen. a. De ene lijst (wonen geografische parochiaan en GEEN voorkeur elders) aan bovenstaande selectie (uitgebreid zoeken) onderstaande toevoegen. LET OP : het voorbeeld gaat uit van een centrale administratie. Heeft u een hybride of decentrale administratie, vul dan het Kaskinummer in bij geografisch locatienummer: b. Ten behoeve van de lijst met voorkeurparochianen aan bovenstaande selectie (uitgebreid zoeken) onderstaande toevoegen. LET OP : het voorbeeld gaat uit van een centrale administratie. Heeft u een hybride of decentrale administratie, vul dan het Kaskinummer in bij Voorkeur locatienummer: 3. Het bepalen van de leeftijd wordt in Excel gedaan. a. Zet eerst de kolom Geboortedatum om naar de in Nederland standaard datum aanduiding; zie hoofdstuk “2.2. Bij export vanuit DocBase komt een datum in Excel als tekst te staan”. b. Voeg naast de kolom “Geboortedatum” een extra kolom toe c. Plaats in de 2e regel van de toegevoegde kolom (in het voorbeeld AH2) de volgende formule: =2019-(JAAR(AG2)) (AG is de kolom waar de geboortedatum staat, Geboortedatum (dus de kolom waarnaar verwezen moet worden; zou een andere kolom dan AG kunnen zijn). Kopieer de formule naar beneden."
137;DocBase;RELATIES;01. Ledenadministratie;Relatiestatus ‘lokale relatie’ of ‘parochiaan’?;Relatiestatus ‘lokale relatie’ of ‘parochiaan’?;;FAQ;U kunt een lid aanmaken met Relatiestatus “(lokale) relatie”. Maar wat is het verschil tussen een (lokale) relatie en een Parochiaan? Een (lokale) relatie is alleen zichtbaar voor de parochie/locatie welke dit lid aanmaakt. De geografische gegevens worden niet ingevuld. Deze persoon hoeft niet persé lid te zijn van de Rooms-Katholieke kerk maar u wilt dit lid registreren om andere reden (bijv. de directeur van de plaatselijke Basisschool omdat deze het parochieblad wenst te ontvangen of een grafdelver). Een (lokale) relatie mag niet aangemeld worden bij SILA. Een aanmelding zorgt ervoor dat de Relatiestatus gewijzigd wordt in “Parochiaan” en de geografische gegevens worden ingevuld. Het lid is nu ook zichtbaar voor de geografische parochie/locatie. (Dat het lid bij een SILA-aanmelding zichtbaar wordt voor de geografische parochie is zo ingericht omdat een lid dat zich wil laten uitschrijven bij SILA zich dient te wenden tot de parochie waar hij/zij woont. Dan is het dus belangrijk dat dit lid wel zichtbaar is voor de geografische parochie). Wijzig de Relatiestatus dus niet van “Parochiaan” naar “(lokale) relatie”. De geografische gegevens blijven immers ingevuld. Als dit lid bij SILA is aangemeld en er volgt een SILA-mutatie (bijv. adreswijziging) wordt de Relatiestatus weer gewijzigd in “Parochiaan”. (lokale) relatie Parochiaan Niet aanmelden bij SILA Kan wel/niet aangemeld zijn bij SILA Alleen zichtbaar voor de parochie/locatie welke deze heeft aangemaakt (op basis van het veld Kaskinr. Registrator) Zichtbaar voor de geografische parochie (welke wordt bepaald a.d.h.v. de postcode)
138;DocBase;RELATIES;01. Ledenadministratie;Het veld Kaskinr. Registrator;Het veld Kaskinr. Registrator;;FAQ;Dit veld zorgt ervoor dat een nieuw aangemaakt lid met de Relatiestatus (lokale) relatie of (lokale) organisatie zichtbaar is voor de parochie/locatie welke dit lid aanmaakt. (immers de geografische parochiegegevens worden niet ingevuld). Bij de conversie vanuit Navision is het veld Kaskinr. Registrator ook gebruikt om leden die niet in de betreffende parochie woonden zichtbaar te maken voor die parochie (anders dan via voorkeursgegevens). Anders zou dit lid alleen zichtbaar zijn geweest voor de geografische parochie. Dit gaf de betreffende parochie de tijd om dit lid alsnog als voorkeurslid aan te melden. Nu wordt bij zo’n lid in geval van verhuizing het veld Kaskinr.Registrator automatisch leeggemaakt. Het veld Kaskinr. Registrator kan niet zonder meer worden leeggemaakt omdat er waarschijnlijk nog steeds parochies zijn die ledenkaarten op basis van dit veld zien maar er nog geen voorkeurslid van hebben gemaakt. Parochies die melden dat ze op basis van Kaskinr.Registrator leden zien die niet tot hun parochie behoren kunnen dit melden. Per parochie kunnen we dit veld dan leegmaken voor wat betreft de leden met Relatiestatus Parochiaan.
139;DocBase;RELATIES;01. Ledenadministratie;Moet een IBAN verplicht ingevuld worden?;Moet een IBAN verplicht ingevuld worden?;;FAQ;Bij het aanmaken van een kerkbijdrage abonnement in DocBase is het IBAN van de parochiaan niet persé noodzakelijk. Voor incasso’s is het uiteraard wel noodzakelijk het IBAN op te geven.
140;DocBase;RELATIES;01. Ledenadministratie;Opschonen ledenadministratie;Opschonen ledenadministratie;;FAQ;Om goede selecties te kunnen maken voor bijv. de Actie Kerkbalans is het belangrijk dat uw ledenadministratie is opgeschoond. Hier ligt een duidelijke taak voor u als ledenadministrateur. In het document Opschonen ledenadministratie DocBase vindt u informatie hoe u dit opschonen kunt doen. Deze procedure vindt u in DocBase – 01. Instructies – blauwe link – tabblad ‘Documentatie’.
141;DocBase;RELATIES;02. Kerkelijke data;Kerkelijke data toevoegen voor iemand buiten de parochie die geen voorkeurlid is;Kerkelijke data toevoegen voor iemand buiten de parochie die geen voorkeurlid is;;FAQ;Zie hoofdstuk Uitzonderingen:
142;DocBase;RELATIES;03. Debiteuren;Wanneer een debiteur aan te maken?;Wanneer een debiteur aan te maken?;;FAQ;Voor iedere kerkbijdrage betaler dient u in DocBase een kerkbijdrage abonnement aan te maken. Hierbij is het van belang dat u de juiste gegevens met betrekking tot abonnement soort, betalingswijze, eventueel bedrag en ingangsdatum invult. Het bankrekeningnummer moet (met uitzondering van kasbetalers) in de ledenkaart ingevuld zijn. Bij het aanmaken van een incassoabonnement controleert DocBase of er een debiteur is aangemaakt. Als dat zo is, wordt het abonnement aan de debiteur gekoppeld. Alleen bij automatische incasso abonnementen wordt er een debiteur aangemaakt als deze er nog niet is. Voor alle andere abonnementen geldt dat de debiteur handmatig moet worden aangemaakt.
143;DocBase;RELATIES;03. Debiteuren;Hoe werkt de koppeling tussen Exact Online en DocBase?;Hoe werkt de koppeling tussen Exact Online en DocBase?;;FAQ;Een debiteur is nodig voor de koppeling met Exact Online. Als er in DocBase een debiteur wordt aangemaakt, worden de gegevens aan Exact Online doorgegeven. In Exact Online wordt een Relatie en een toewijzingsregel aangemaakt. In de toewijzingsregel wordt het rekeningnummer (IBAN) geplaatst. Als er in Exact Online kerkbijdrage inkomsten worden geboekt, wordt op basis van het IBAN waarvan het geld afkomstig is, het bedrag via de toewijzingsregel aan de betreffende relatie toegewezen. In de nacht wordt het totaalbedrag dat in het jaar is betaald in DocBase bijgewerkt.
144;DocBase;RELATIES;04. Abonnementen;Iemand wil geen parochieblad ontvangen;Iemand wil geen parochieblad ontvangen;;FAQ;In DocBase wordt het bepalen of iemand een parochieblad wil ontvangen geregeld via abonnementen. Als iemand geen parochieblad wil ontvangen, zorg er dan voor dat de persoon geen abonnement heeft. In DocBase kan een einddatum worden ingevuld zodat vooraf te bepalen is wanneer het verzenden van een parochieblad moet stoppen. Dit wordt gebruikt als bijvoorbeeld een nieuwkomer voor een jaar lang het parochieblad krijgt.
145;DocBase;RELATIES;04. Abonnementen;Beëindig een lopend abonnement;Beëindig een lopend abonnement;;FAQ;1. Open het abonnement 2. Klik op “wijzigen” 3. Verander “Status abonnement” in “Beëindigd” (1) 4. Vul de einddatum in. LET OP!! In geval van een automatische incasso moet de einddatum zorgvuldig gekozen worden. Neem als datum de laatste dag van de periode die geïncasseerd is. U kunt dit controleren in Exact Online tot welke datum is gefactureerd (zie veld ‘gefactureerd t/m’) Ga in Exact naar abonnementen – overzicht en klik op het abonnementnummer: Voorbeeld: a. Maandincasso: incasso is ingegaan op 01-01-2019 frequentie is maand Lid wil vanaf augustus 2019 niet meer betalen Vul bij Beëindiging abonnement in: 31-07-2019 b. Kwartaal incasso: incasso is ingegaan op 01-01-2019 frequentie is kwartaal Lid wil na de incasso van oktober niet meer betalen Vul bij Beëindiging abonnement in: 31-12-2019 (de incasso zou in januari 2020 weer worden uitgestuurd, dus 31-12-2019)
146;DocBase;RELATIES;04. Abonnementen;Kerkbijdrage abonnementen omzetten naar nabestaande partner;Kerkbijdrage abonnementen omzetten naar nabestaande partner;;FAQ;"1. Beëindig het abonnement dat aan de overledene is gekoppeld. 2. Zorg ervoor dat het juiste bankrekeningnummer op de ledenkaart van de nabestaande is ingevuld. 3. Hang de debiteur van de overledene om naar de ledenkaart van de nabestaande. Dit doet u door bij de debiteur op Wijzigen te klikken en daarna in het veld Lid Docbase-ID het lidnummer van de nabestaande in te vullen. Hierdoor wordt zowel de debiteur als ook de betaalhistorie overgezet naar de nabestaande. 4. Maak bij de nabestaande een nieuw abonnement aan, startend één dag later dan de beëindigingsdatum van het abonnement bij de overledene. Hiermee wordt alleen de betaalhistorie van Exact Online overgezet, niet de betaalhistorie uit Navision. In Exact wordt de tenaamstelling van de debiteur aangepast. LET OP; doe dit alleen als het gaat om een echtpaar dat al meerdere jaren samen was en waar de intentie altijd is geweest dat de betaalde kerkbijdrage voor beide was. De kerkbijdrage zal dan vaak via hetzelfde bankrekening (een en/of- rekening) betaald worden. (Maak eventueel bij de debiteur in Exact bij Opmerkingen een aantekening dat de kerkbijdragehistorie is overgedragen.) Als dit niet het geval is volg dan stap 1. Stap 2 en 3 niet uitvoeren maar in plaats daarvan voegt u het bankrekeningnummer van de nabestaande in en maakt u een nieuwe debiteur aan bij de nabestaande. Daarna kunt u stap 4. uitvoeren. Neem bij twijfel contact op met de Helpdesk."
147;DocBase;RELATIES;04. Abonnementen;Kan een abonnement gecorrigeerd worden?;Kan een abonnement gecorrigeerd worden?;;FAQ;Heeft u een abonnement aangemaakt waarin u een fout heeft gemaakt, dan kunt u de fout niet meer in dat abonnement herstellen. Een correctie van een abonnement kan alleen door het foutieve abonnement te beëindigen en een nieuw abonnement aan te maken. Beëindigen van een abonnement, zie hoofdstuk 0 Beëindig een lopend abonnement. Na beëindiging van het foutieve abonnement kan het abonnement verwijderd worden.
148;DocBase;RELATIES;04. Abonnementen;Hoe herstel ik een fout in een abonnement?;Hoe herstel ik een fout in een abonnement?;;FAQ;Indien bij het aanmaken van een abonnement een fout is gemaakt, moet het abonnement beëindigd worden en een nieuw abonnement worden aangemaakt.
149;DocBase;RELATIES;04. Abonnementen;Wat betekend Expiratiedatum in het formulier voor abonnementen?;Wat betekend Expiratiedatum in het formulier voor abonnementen?;;FAQ;"Dit veld kan gebruikt worden om aan te geven wanneer het abonnement naar verwachting wordt beëindigd. Deze datum heeft echter geen invloed op de abonnement-einddatum; hiervoor moet het veld “Beëindigingsdatum abonnement” worden ingevuld. Is er een expiratiedatum ingevuld voor een incasso abonnement, dan loopt de incasso ook na de expiratiedatum door, tenzij er ook een “Beëindigingsdatum abonnement” is ingevuld."
150;DocBase;RELATIES;04. Abonnementen;Kan ik Bankrekeningnummer en NAW gegevens van een debiteur/incasso abonnement aanpassen?;Kan ik Bankrekeningnummer en NAW gegevens van een debiteur/incasso abonnement aanpassen?;;FAQ;Ja, dat kan. Aanpassingen in NAW-gegevens, IBAN en emailadressen die in DocBase worden gedaan, worden naar Exact Online overgezet. LET OP: Als het primaire bankrekeningnummer van een incasso betaler wordt aangepast, moet er in Exact Online nog een handmatige aanpassing gedaan worden!! Zie 3.9.1 Als een gebruiker een IBAN ingeeft e/o muteert bij 01. Ledenadministratie moet dit ingegeven worden ZONDER spaties. Als dit met spaties gebeurt worden deze met spaties doorgegeven aan Exact, wordt er een toewijzingsregel aangemaakt met spaties in Exact en kan een ontvangen KB niet door Exact herkend worden (immers, de bank gebruikt het IBAN ZONDER spaties in haar bankmutaties). Exact zal dan de ontvangen KB niet herkennen en op een tussenrekening plaatsen (ipv op 8000). Als een gebruiker in DocBase het IBAN ingeeft met spaties zal overnacht door een script wat er draait de spaties worden verwijderd en lijkt het visueel of het IBAN is ingegeven zonder spaties. Maar als je dan op het + teken klikt voor het veld ziet u de ingave van de gebruiker.
